treated,nondiscrim_law_t3,therm_trans_t2,therm_obama_t1,gender_norm_moral_t1,nondiscrim_law_t0,therm_trans_t0,therm_obama_t0,gender_norm_moral_t0,ideology_t0,religious_t0,exposure_trans_t0,pid_t0,vf_democrat,vf_female,vf_hispanic,vf_black,vf_age,nondiscrim_law_diff
0,1,2,100,-1,1,1,100,-2,2,4,0,3,1,0,0,1,72,0
0,3,1,50,-0,3,0,100,-0,-1,5,1,3,1,1,0,1,66,0
0,3,2,100,-0,3,2,100,-1,2,5,0,3,1,1,0,1,60,0
0,-1,0,50,-0,-1.5,0,100,2,0,3,0,2,1,1,0,1,24,0.5
1,NA,NA,NA,NA,3,2,10,2,0,1,1,3,1,1,1,0,68,NA
1,NA,NA,NA,NA,-0.5,0,93,-2,0,5,0,3,1,0,0,1,62,NA
0,3,2,50,-2,3,1,85,-0,-2,4,0,3,1,1,1,0,68,0
0,2,2,50,1,1,2,68,-0,0,4,0,2,1,1,0,0,56,1
0,2,2,100,1,0,1,100,-0,0,1,0,2,1,1,0,1,46,2
1,0,1,40,-0,0.5,1,70,-0,0,4,0,1,1,0,0,0,67,-0.5
1,NA,NA,NA,NA,1.5,1,60,1,0,0,0,0,0,0,1,0,19,NA
0,1.5,2,50,1,2,1,32,1,1,3,1,0,0,1,1,0,43,-0.5
0,2,1,13,-0,2,1,50,-0,0,3,1,-1,0,0,1,0,45,0
0,NA,NA,NA,NA,2,1,92,2,2,0,0,3,1,0,0,0,50,NA
1,2,1,100,-0,2,1,100,1,1,0,0,1,0,0,0,0,33,0
0,2,0,50,-1,2.5,0,70,-2,3,0,0,2,0,0,1,0,19,-0.5
1,0,1,50,-0,1,0,94,-0,0,3,0,2,1,1,0,1,39,-1
1,-3,0,50,-2,0,0,100,-1,-1,4,0,3,1,1,0,1,36,-3
1,NA,NA,NA,NA,-2,0,70,1,-2,5,1,-2,1,0,0,1,25,NA
1,NA,NA,NA,NA,2,1,50,1,0,0,1,2,1,1,0,0,54,NA
0,0.5,0,0,-1,0,1,1,-0,0,4,1,-1,0,1,0,0,37,0.5
1,2,1,90,-1,2.5,1,100,1,0,0,0,2,1,0,1,0,62,-0.5
1,NA,NA,50,-0,3,1,51,-0,0,3,0,0,1,1,1,0,51,NA
0,2,1,50,-0,2.5,1,100,-0,0,2,0,3,1,1,0,1,42,-0.5
0,-3,0,100,-2,2.5,0,100,-0,0,0,0,3,1,0,0,1,51,-5.5
1,1.5,1,100,1,0,1,100,1,1,4,0,3,1,1,0,1,45,1.5
1,3,1,NA,NA,2,1,61,2,0,0,0,1,0,0,0,0,64,1
0,NA,NA,50,-0,0,1,83,-0,1,2,0,2,1,1,0,1,40,NA
1,NA,NA,NA,NA,3,1,93,-1,0,1,0,0,1,0,0,1,62,NA
1,1.5,1,100,-0,1,1,100,-0,-2,4,0,3,1,1,0,1,53,0.5
1,NA,NA,NA,NA,1.5,1,50,-2,0,4,0,3,1,1,0,1,65,NA
0,3,2,80,1,3,2,73,1,0,1,0,0,0,1,0,0,54,0
0,0,1,100,-0,0,1,100,1,0,5,0,3,1,1,0,1,52,0
0,2,1,100,-0,3,1,100,1,1,0,1,2,1,1,0,0,64,-1
0,3,2,100,2,3,2,100,1,2,1,1,3,1,1,0,1,24,0
1,0.5,1,50,-0,1.5,1,92,-0,0,1,0,0,1,1,0,1,56,-1
0,2,2,50,-0,3,2,92,1,2,0,0,3,0,1,1,0,25,-1
0,-0.5,1,63,-0,0,0,0,-0,-2,1,0,2,1,1,1,0,55,-0.5
1,3,1,0,1,1.5,1,2,-0,0,0,0,-2,0,1,0,0,59,1.5
1,NA,NA,NA,NA,3,2,100,-0,0,1,0,1,0,0,1,0,56,NA
0,2.5,1,50,-0,2.5,1,50,-0,0,3,0,2,0,1,1,0,66,0
1,-1.5,1,50,-0,2.5,1,6,-0,0,0,0,0,0,1,1,0,46,-4
0,2.5,1,50,-1,1,1,50,-0,-1,3,0,2,1,0,0,1,47,1.5
1,3,2,100,2,1.5,2,100,1,0,0,1,2,0,0,0,0,34,1.5
1,-3,0,52,-2,-2,0,100,2,0,0,0,3,1,0,0,1,24,-1
1,1.5,1,50,-2,0,0,100,-2,1,4,0,3,1,0,0,0,46,1.5
1,NA,NA,NA,NA,2,0,100,-1,0,4,1,3,1,1,0,1,65,NA
0,NA,2,100,1,3,1,82,-0,2,1,0,1,0,1,1,0,42,NA
1,2,2,70,1,2.5,1,72,-0,-1,4,1,-2,0,0,0,0,56,-0.5
1,NA,NA,NA,NA,-0.5,0,89,-0,0,1,1,2,1,1,0,1,30,NA
1,NA,1,71,1,2.5,1,50,1,0,1,0,-2,0,0,0,0,77,NA
1,3,2,100,2,3,2,100,2,3,1,0,3,0,0,1,0,55,0
